from,to,distance
TMU M01 020.0 N,TMU M01 020.0 N,0
TMU M01 020.0 N,TMU M01 010.0 S,7648
TMU M01 020.0 N,TMU M01 006.0 N,20400
TMU M01 020.0 N,TMU M01 005.0 N,17778
TMU M01 020.0 N,TMU N01 000.0 N,17754
TMU M01 020.0 N,TMU M01 000.0 N,24712
TMU M01 020.0 N,TMU M50 001.7N,23343
TMU M01 020.0 N,TMU R108 000.0 N,21708
TMU M01 020.0 N,TMU R108 000.0 N1,21935
TMU M01 020.0 N,TMU M50 005.0 N,26965
TMU M01 020.0 N,TMU M02 000.0 N,25637
TMU M01 020.0 N,TMU M50 010.0 N,31064
TMU M01 020.0 N,TMU N03 000.0 N,30505
TMU M01 020.0 N,TMU N03 005.0 S,34518
TMU M01 020.0 N,TMU M50 000.0 N,20902
TMU M01 020.0 N,TMU N01 040.0 S,20976
TMU M01 020.0 N,TMU M50 015.0 S,30021
TMU M01 020.0 N,TMU N04 000.0 W,32679
TMU M01 020.0 N,TMU N04 000.0 E,37187
TMU M01 020.0 N,TMU M50 020.0 N,42746
TMU M01 020.0 N,TMU N07 001.0 E,39039
TMU M01 020.0 N,TMU N07 005.0 E,42731
TMU M01 020.0 N,TMU N07 006.0 E,45639
TMU M01 020.0 N,TMU M50 015.0 N,36989
TMU M01 020.0 N,TMU M50 025.0 S,39277
TMU M01 020.0 N,TMU N81 000.0 N,43231
TMU M01 020.0 N,TMU M50 025.0 N,42855
TMU M01 020.0 N,TMU M50 030.0 S,51019
TMU M01 020.0 N,TMU M50 035.0 S,48191
TMU M01 020.0 N,TMU N31 000.0 E,51360
TMU M01 020.0 N,TMU N31 005.0 E,33654
TMU M01 020.0 N,TMU M50 040.0 S,51452
TMU M01 020.0 N,TMU M11 010.0 N,60859
TMU M01 010.0 S,TMU M01 020.0 N,12530
TMU M01 010.0 S,TMU M01 010.0 S,0
TMU M01 010.0 S,TMU M01 006.0 N,12753
TMU M01 010.0 S,TMU M01 005.0 N,10131
TMU M01 010.0 S,TMU N01 000.0 N,10107
TMU M01 010.0 S,TMU M01 000.0 N,17064
TMU M01 010.0 S,TMU M50 001.7N,15695
TMU M01 010.0 S,TMU R108 000.0 N,14060
TMU M01 010.0 S,TMU R108 000.0 N1,14288
TMU M01 010.0 S,TMU M50 005.0 N,19317
TMU M01 010.0 S,TMU M02 000.0 N,17989
TMU M01 010.0 S,TMU M50 010.0 N,23416
TMU M01 010.0 S,TMU N03 000.0 N,22857
TMU M01 010.0 S,TMU N03 005.0 S,26870
TMU M01 010.0 S,TMU M50 000.0 N,13254
TMU M01 010.0 S,TMU N01 040.0 S,13328
TMU M01 010.0 S,TMU M50 015.0 S,22373
TMU M01 010.0 S,TMU N04 000.0 W,25031
TMU M01 010.0 S,TMU N04 000.0 E,29539
TMU M01 010.0 S,TMU M50 020.0 N,35098
TMU M01 010.0 S,TMU N07 001.0 E,31391
TMU M01 010.0 S,TMU N07 005.0 E,35083
TMU M01 010.0 S,TMU N07 006.0 E,37991
TMU M01 010.0 S,TMU M50 015.0 N,29341
TMU M01 010.0 S,TMU M50 025.0 S,31629
TMU M01 010.0 S,TMU N81 000.0 N,35583
TMU M01 010.0 S,TMU M50 025.0 N,35207
TMU M01 010.0 S,TMU M50 030.0 S,43371
TMU M01 010.0 S,TMU M50 035.0 S,40543
TMU M01 010.0 S,TMU N31 000.0 E,43712
TMU M01 010.0 S,TMU N31 005.0 E,26006
TMU M01 010.0 S,TMU M50 040.0 S,43804
TMU M01 010.0 S,TMU M11 010.0 N,53211
TMU M01 006.0 N,TMU M01 020.0 N,11504
TMU M01 006.0 N,TMU M01 010.0 S,19153
TMU M01 006.0 N,TMU M01 006.0 N,0
TMU M01 006.0 N,TMU M01 005.0 N,9856
TMU M01 006.0 N,TMU N01 000.0 N,8400
TMU M01 006.0 N,TMU M01 000.0 N,16789
TMU M01 006.0 N,TMU M50 001.7N,15420
TMU M01 006.0 N,TMU R108 000.0 N,13785
TMU M01 006.0 N,TMU R108 000.0 N1,14012
TMU M01 006.0 N,TMU M50 005.0 N,19042
TMU M01 006.0 N,TMU M02 000.0 N,17714
TMU M01 006.0 N,TMU M50 010.0 N,23141
TMU M01 006.0 N,TMU N03 000.0 N,22582
TMU M01 006.0 N,TMU N03 005.0 S,26595
TMU M01 006.0 N,TMU M50 000.0 N,12979
